V battery,Vdet,I detected (A),Rbox,R detected,RV,Idetapprox,Rboxapprox,Rdetapprox,RVapprox,V battery,Vdetu,I detected (A),Rboxu,R detected,R A,Idetapproxu,Rboxapproxu,Rdetapproxu,RAapproxu
1,0.993,5.00E-05,2.00E+04,1.99E+04,2.92E+06,49.99,0.02,0.02,2.92,1,0.998,1.75E-02,50,5.71E+01,7.06E+00,17.49,0.050,0.057,0.007
1,0.997,2.00E-05,5.00E+04,4.98E+04,1.11E+07,20.03,0.05,0.05,11.08,1,0.999,4.87E-03,100,2.05E+02,1.05E+02,4.87,0.100,0.205,0.105
1,0.998,1.01E-05,1.00E+05,9.92E+04,1.25E+07,10.06,0.10,0.10,12.48,1,0.999,3.29E-03,200,3.03E+02,1.03E+02,3.29,0.200,0.303,0.103
1,0.998,5.04E-06,2.00E+05,1.98E+05,2.00E+07,5.04,0.20,0.20,19.96,1,0.999,1.66E-03,500,6.01E+02,1.01E+02,1.66,0.500,0.601,0.101
1,0.998,2.07E-06,5.00E+05,4.82E+05,1.35E+07,2.07,0.50,0.48,13.49,1,0.999,9.08E-04,1000,1.10E+03,1.00E+02,0.91,1.000,1.100,0.100
1,0.998,1.08E-06,1.00E+06,9.24E+05,1.22E+07,1.08,1.00,0.92,12.17,1,0.999,4.75E-04,2000,2.10E+03,1.04E+02,0.47,2.000,2.104,0.104
1,0.999,5.90E-07,2.00E+06,1.67E+06,1.02E+07,0.59,2.00,1.67,10.20,1,0.999,1.96E-04,5000,5.10E+03,1.02E+02,0.20,5.000,5.102,0.102
1,0.999,2.90E-07,5.00E+06,3.34E+06,1.01E+07,0.29,5.00,3.34,10.10,1,0.999,9.89E-05,1.00E+04,1.01E+04,9.70E+01,0.10,10.000,10.097,0.097
1,0.999,1.85E-07,1.00E+07,5.03E+06,1.01E+07,0.19,10.00,5.03,10.10,2,1.999,1.86E-01,5,1.07E+01,5.73E+00,186.30,0.005,0.011,0.006
2,1.978,1.99E-04,1.00E+04,9.94E+03,1.68E+06,198.98,0.01,0.01,1.68,2,1.997,1.28E-01,10,1.56E+01,5.58E+00,128.20,0.010,0.016,0.006
2,1.989,1.00E-04,2.00E+04,1.99E+04,3.31E+06,100.05,0.02,0.02,3.31,2,1.997,7.91E-02,20,2.52E+01,5.25E+00,79.10,0.020,0.025,0.005
2,1.995,4.01E-05,5.00E+04,4.98E+04,9.98E+06,40.10,0.05,0.05,9.98,2,1.998,3.60E-02,50,5.56E+01,5.55E+00,35.97,0.050,0.056,0.006
2,1.997,2.02E-05,1.00E+05,9.89E+04,9.29E+06,20.19,0.10,0.10,9.29,2,1.999,1.90E-02,100,1.05E+02,5.49E+00,18.95,0.100,0.105,0.005
2,1.998,1.02E-05,2.00E+05,1.96E+05,1.08E+07,10.18,0.20,0.20,10.80,2,1.999,9.80E-03,200,2.04E+02,3.92E+00,9.80,0.200,0.204,0.004
2,1.998,4.15E-06,5.00E+05,4.81E+05,1.30E+07,4.15,0.50,0.48,12.97,2,1.999,3.32E-03,500,6.01E+02,1.01E+02,3.32,0.500,0.601,0.101
2,1.988,2.16E-06,1.00E+06,9.20E+05,1.16E+07,2.16,1.00,0.92,11.56,2,1.999,1.82E-03,1000,1.10E+03,9.95E+01,1.82,1.000,1.099,0.099
2,1.999,1.18E-06,2.00E+06,1.67E+06,1.02E+07,1.18,2.00,1.67,10.20,2,1.999,9.50E-04,2000,2.10E+03,1.04E+02,0.95,2.000,2.104,0.104
